Segment Name,Distance (km),Split Length (km),Gain (m),Loss (m),Cumulative Elevation (m),Grade (%),Target Pace (min/km),Split Time (min),Station Delay (min),Arrival Time
Start to Waldsportplatz,6.91,6.91,240,22,218,3.2,,,,
Waldsportplatz to Hohe Sonne,7.39,0.48,8,0,226,1.7,,,,
Hohe Sonne to Ascherbrück,11.81,4.42,128,13,341,2.6,,,,
Ascherbrück to Glasbachwiese,17.89,6.08,145,59,427,1.4,,,,
Glasbachwiese to Dreiherrenstein,20.43,2.54,103,20,510,3.3,,,,
Dreiherrenstein to Gr. Inselsberg,25.15,4.72,211,28,693,3.9,,,,
Gr. Inselsberg to Grenzwiese,26.47,1.32,4,180,517,-13.4,,,,
Grenzwiese to Heuberghaus,30.44,3.97,66,99,484,-0.8,,,,
Heuberghaus to Possenröder Kre,33.14,2.70,53,39,498,0.5,,,,
Possenröder Kre to Ebertswiese,36.94,3.80,34,24,508,0.3,,,,
Ebertswiese to Neue Ausspanne,40.47,3.53,50,49,508,0.0,,,,
Neue Ausspanne to Neuhöfer Wiesen,44.75,4.28,186,39,654,3.4,,,,
Neuhöfer Wiesen to Gustav-Freytag,50.68,5.93,78,82,651,-0.1,,,,
Gustav-Freytag to Grenzadler,54.05,3.37,24,40,635,-0.5,,,,
Grenzadler to Sommerwiese,58.66,4.62,135,137,633,-0.0,,,,
Sommerwiese to Gr. Beerberg,61.67,3.01,124,5,752,4.0,,,,
Gr. Beerberg to Schmücke,65.06,3.38,32,91,693,-1.8,,,,
Schmücke to Kreuzwege,69.39,4.33,37,130,600,-2.1,,,,
Kreuzwege to Finish,73.93,4.55,11,121,490,-2.4,,,,
